"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",3,"7.9%","42.1%","50.0%","67%","67%",10,9,18,3.1,"56.0%","24.3%","0%",-134,41,-4,8,"21.0%",432,"20.2%","20.4%",0.41,0.14
"Alistar","Support",1,"2.6%","0.0%","2.6%","0%","100%",0,3,3,1,"50.0%","25.0%","100%",-52,-320,8,0.9,"2.4%",65,"4.7%","7.2%",1.69,0.4
"Aphelios","ADC",1,"2.6%","0.0%","2.6%","100%","100%",0,1,3,3,"23.1%","10.0%","0%",-561,-861,-9,11,"36.1%",328,"17.3%","26.3%",0.48,0.28
"Ashe","ADC",25,"65.8%","10.5%","76.3%","40%","68%",62,53,124,3.5,"68.4%","17.7%","24%",-70,179,-2.1,9.1,"30.4%",481,"26.0%","25.5%",0.37,0.32
"Azir","Middle",14,"36.8%","31.6%","68.4%","50%","21%",46,29,59,3.6,"71.4%","17.9%","7%",-74,126,4,9.5,"28.6%",521,"30.5%","26.2%",0.44,0.28
"Bard","Support",10,"26.3%","18.4%","44.7%","50%","40%",13,23,69,3.6,"76.6%","20.0%","20%",-101,153,0.9,1.2,"3.8%",168,"8.8%","9.6%",2.47,0.58
"Blitzcrank","Support",3,"7.9%","10.5%","18.4%","33%","100%",4,16,19,1.4,"46.9%","29.1%","33%",-197,-127,-1,0.9,"1.8%",166,"7.1%","7.2%",1.56,0.3
"Braum","Support",6,"15.8%","0.0%","15.8%","17%","67%",2,14,49,3.6,"66.2%","16.1%","0%",58,42,2.7,0.9,"1.7%",117,"5.6%","7.3%",1.63,0.23
"Caitlyn","ADC",14,"36.8%","60.5%","97.4%","64%","0%",48,23,55,4.5,"60.9%","16.5%","14%",-144,-289,-2.6,9.3,"29.7%",473,"27.6%","25.9%",0.41,0.3
"Camille","Top",1,"2.6%","5.3%","7.9%","100%","0%",2,1,4,6,"66.7%","33.3%","100%",611,494,15,8.6,"25.9%",366,"26.1%","23.5%",0.43,0.18
"Cassiopeia","Middle",1,"2.6%","0.0%","2.6%","0%","100%",1,6,4,0.8,"55.6%","33.3%","0%",-693,-311,6,9.5,"28.8%",351,"21.5%","23.6%",0.39,0.16
"Corki","-",0,"0%","18.4%","18.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Middle",2,"5.3%","5.3%","10.5%","50%","100%",6,5,8,2.8,"77.8%","25.0%","0%",-200,-501,-12,8.6,"26.9%",459,"32.6%","25.5%",0.54,0.19
"Evelynn","Jungle",3,"7.9%","7.9%","15.8%","33%","0%",10,15,21,2.1,"72.1%","28.8%","0%",25,92,11,5.4,"15.1%",466,"19.4%","18.7%",0.37,0.17
"Ezreal","ADC",9,"23.7%","7.9%","31.6%","22%","44%",24,19,31,2.9,"60.4%","15.4%","22%",-114,-168,1,9,"29.8%",558,"29.4%","25.9%",0.38,0.25
"Galio","Middle",3,"7.9%","18.4%","26.3%","0%","67%",5,15,9,0.9,"73.7%","30.6%","0%",-478,-12,1.7,7.5,"20.4%",305,"21.6%","21.7%",0.51,0.04
"Gangplank","Top",9,"23.7%","34.2%","57.9%","44%","78%",28,19,54,4.3,"75.2%","18.1%","44%",398,31,7.8,8.6,"29.3%",586,"28.9%","28.0%",0.48,0.16
"Gnar","Top",1,"2.6%","2.6%","5.3%","100%","100%",2,2,2,2,"44.4%","40.0%","100%",249,224,-7,7.8,"27.0%",553,"31.8%","23.7%",0.24,0.34
"Gragas","Jungle",1,"2.6%","0.0%","5.3%","0%","100%",3,2,4,3.5,"53.8%","15.4%","0%",-821,-841,-18,5.8,"18.4%",352,"15.0%","17.2%",0.83,0.42
"Gragas","Support",1,"2.6%","0.0%","5.3%","100%","100%",2,1,13,15,"65.2%","20.0%","100%",48,290,-2,1.4,"5.0%",250,"10.6%","9.8%",1.18,0.33
"Graves","Jungle",19,"50.0%","34.2%","84.2%","63%","11%",75,44,109,4.2,"73.0%","22.1%","53%",58,219,5.2,7.2,"22.7%",386,"18.8%","21.3%",0.24,0.69
"Hecarim","Jungle",2,"5.3%","5.3%","18.4%","50%","100%",6,8,19,3.1,"62.5%","22.9%","0%",196,161,2,5.4,"16.2%",288,"12.0%","17.1%",0.33,0.46
"Hecarim","Top",3,"7.9%","5.3%","18.4%","33%","67%",8,7,9,2.4,"60.7%","15.6%","0%",196,-75,-1.7,7.9,"29.0%",360,"21.0%","24.3%",0.26,0.1
"Irelia","-",0,"0%","18.4%","18.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",1,"2.6%","2.6%","5.3%","100%","100%",6,0,3,9,"56.3%","0.0%","0%",-184,-460,-2,9.4,"27.4%",499,"24.4%","25.8%",0.52,0.15
"Jayce","Top",2,"5.3%","13.2%","18.4%","50%","50%",9,11,4,1.2,"54.2%","64.7%","50%",1004,189,15.5,7.8,"23.8%",679,"36.5%","25.5%",0.27,0.17
"Jhin","ADC",2,"5.3%","0.0%","5.3%","50%","100%",7,1,7,14,"73.7%","6.3%","50%",461,146,7,9.4,"29.2%",381,"22.4%","27.1%",0.39,0.12
"Kalista","ADC",5,"13.2%","44.7%","57.9%","60%","80%",30,17,41,4.2,"69.6%","22.1%","60%",295,142,1.8,8.4,"28.2%",576,"23.7%","25.1%",0.55,0.37
"Karma","Support",5,"13.2%","7.9%","21.1%","20%","100%",1,11,20,1.9,"60.0%","18.0%","0%",-114,-113,-7.4,0.7,"2.1%",203,"11.7%","7.9%",1.3,0.41
"Kayle","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayn","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",2,6,5,1.2,"100.0%","28.6%","100%",-520,-974,-15,6.1,"22.1%",384,"16.5%","20.4%",0.29,0.39
"Kennen","Top",1,"2.6%","5.3%","7.9%","0%","100%",0,1,4,4,"40.0%","11.1%","0%",-437,-176,-2,7.2,"23.8%",484,"26.8%","18.7%",0.55,0.17
"Kha'Zix","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",2,4,2,1,"66.7%","21.1%","100%",104,134,-1,4.7,"12.1%",418,"22.4%","16.2%",0.61,0.27
"Kindred","Jungle",2,"5.3%","0.0%","5.3%","0%","100%",4,7,5,1.3,"81.8%","31.8%","0%",-193,-554,-7.5,6.4,"19.5%",211,"15.3%","20.4%",0.16,0.41
"Kog'Maw","Middle",2,"5.3%","2.6%","7.9%","50%","100%",2,3,6,2.7,"53.3%","15.0%","50%",96,-190,-8.5,8.7,"27.4%",764,"36.7%","24.5%",0.41,0.16
"LeBlanc","Middle",4,"10.5%","63.2%","73.7%","50%","50%",18,5,18,7.2,"72.0%","9.1%","25%",-172,82,-5.3,8.4,"27.2%",562,"29.1%","25.8%",0.32,0.28
"Lee Sin","Jungle",14,"36.8%","18.4%","55.3%","43%","79%",45,43,80,2.9,"76.7%","21.6%","50%",108,-41,-3.4,5.5,"15.8%",243,"13.1%","18.3%",0.54,0.31
