"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",5,"22.7%","40.9%","63.6%","40%","40%",20,17,14,2,"54.8%","20.7%","20%",127,-111,-4.2,8.2,"26.0%",378,"21.9%","24.7%",0.4,0.14
"Aphelios","-",0,"0%","13.6%","13.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",13,"59.1%","13.6%","72.7%","62%","46%",46,26,83,5,"66.2%","16.5%","31%",121,72,0,9.1,"31.0%",526,"27.9%","25.8%",0.33,0.37
"Azir","Middle",8,"36.4%","13.6%","50.0%","25%","50%",32,21,38,3.3,"67.3%","16.4%","0%",28,60,1.1,9.3,"30.2%",512,"28.2%","26.9%",0.36,0.21
"Bard","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",1,"4.5%","4.5%","9.1%","0%","100%",3,3,4,2.3,"63.6%","21.4%","0%",342,513,-4,0.9,"1.9%",130,"8.4%","8.7%",1.63,0.24
"Braum","Support",5,"22.7%","0.0%","22.7%","20%","100%",3,20,29,1.6,"61.5%","23.8%","40%",-110,-139,0.2,0.9,"2.0%",135,"7.7%","8.0%",1.77,0.29
"Caitlyn","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Camille","Top",6,"27.3%","36.4%","63.6%","33%","50%",17,19,34,2.7,"63.0%","20.2%","17%",-105,-28,-9.8,6.9,"25.8%",318,"19.5%","21.6%",0.34,0.13
"Cho'Gath","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",3,"13.6%","36.4%","50.0%","100%","33%",14,4,19,8.3,"64.7%","14.8%","67%",787,1208,23,6.8,"18.4%",481,"24.7%","20.2%",0.43,0.13
"Ezreal","ADC",4,"18.2%","31.8%","50.0%","0%","75%",11,17,21,1.9,"61.5%","21.0%","0%",-416,-319,-6.5,8.7,"29.2%",593,"29.2%","25.6%",0.39,0.27
"Galio","Middle",2,"9.1%","4.5%","13.6%","50%","0%",6,6,24,5,"71.4%","20.0%","50%",-876,-462,-28,6.2,"16.2%",466,"20.6%","17.5%",0.44,0.19
"Gangplank","Top",8,"36.4%","59.1%","95.5%","38%","25%",30,29,43,2.5,"57.5%","23.8%","13%",163,33,4.4,8.1,"28.0%",647,"28.9%","26.1%",0.46,0.11
"Gnar","Top",1,"4.5%","0.0%","4.5%","0%","0%",3,4,3,1.5,"75.0%","18.2%","100%",972,691,17,7.9,"25.8%",367,"26.8%","24.0%",0.46,0.15
"Gragas","Jungle",1,"4.5%","0.0%","4.5%","100%","100%",8,3,7,5,"71.4%","23.1%","0%",-20,151,-2,4.7,"15.0%",521,"18.5%","17.8%",0.9,0.27
"Graves","Jungle",2,"9.1%","13.6%","22.7%","50%","50%",8,8,11,2.4,"73.1%","22.2%","50%",490,830,17.5,6.5,"21.5%",562,"25.6%","22.4%",0.35,0.35
"Hecarim","Jungle",8,"36.4%","50.0%","86.4%","63%","38%",35,17,45,4.7,"69.6%","18.5%","13%",98,40,4.4,6.6,"20.0%",328,"18.6%","21.5%",0.22,0.31
"Irelia","Middle",1,"4.5%","4.5%","9.1%","100%","100%",7,7,11,2.6,"72.0%","31.8%","0%",1019,419,28,8.5,"27.5%",574,"28.4%","25.6%",0.31,0.05
"Jax","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",1,"4.5%","0.0%","4.5%","100%","100%",6,3,5,3.7,"55.0%","60.0%","0%",55,-2,21,9.2,"34.6%",772,"38.1%","27.3%",0.41,0.1
"Jhin","ADC",3,"13.6%","0.0%","13.6%","33%","100%",5,6,12,2.8,"53.1%","10.7%","0%",-55,-11,-2.7,9.3,"30.6%",544,"28.9%","26.7%",0.36,0.28
"Jinx","ADC",1,"4.5%","0.0%","4.5%","0%","100%",0,1,0,0,"0.0%","8.3%","0%",664,844,30,9.2,"30.1%",252,"20.4%","29.0%",0.32,0.2
"Kalista","ADC",2,"9.1%","36.4%","45.5%","50%","50%",10,3,15,8.3,"73.5%","12.5%","0%",669,296,8,9.9,"33.1%",404,"20.2%","29.1%",0.3,0.29
"Karthus","Jungle",1,"4.5%","4.5%","9.1%","100%","100%",4,2,6,5,"71.4%","18.2%","100%",1069,768,10,7.2,"19.5%",443,"26.8%","20.3%",0.41,0.3
"Kassadin","Middle",1,"4.5%","0.0%","4.5%","0%","100%",2,1,0,2,"50.0%","5.9%","0%",-50,457,-4,8.4,"27.4%",265,"26.8%","29.6%",0.42,0.19
"Kennen","Top",1,"4.5%","0.0%","4.5%","0%","0%",4,5,2,1.2,"42.9%","20.0%","0%",90,-278,6,7.2,"24.5%",471,"28.1%","24.2%",0.42,0.26
"Kha'Zix","Jungle",1,"4.5%","13.6%","18.2%","100%","0%",2,1,4,6,"37.5%","12.5%","0%",-27,-147,-9,5.3,"15.3%",251,"12.7%","17.4%",0.65,0.23
"Kog'Maw","ADC",1,"4.5%","4.5%","13.6%","0%","100%",4,4,3,1.8,"87.5%","25.0%","100%",986,-59,20,9.4,"35.1%",542,"33.1%","31.7%",0.29,0.23
"Kog'Maw","Middle",1,"4.5%","4.5%","13.6%","100%","100%",3,1,6,9,"52.9%","6.3%","0%",3,622,7,8.7,"27.5%",853,"36.7%","23.4%",0.3,0.21
"LeBlanc","Middle",3,"13.6%","22.7%","36.4%","67%","0%",19,6,21,6.7,"75.5%","17.1%","67%",283,31,6.7,7.5,"22.5%",667,"30.2%","23.6%",0.39,0.22
"Lee Sin","Jungle",6,"27.3%","18.2%","45.5%","17%","83%",15,24,19,1.4,"57.6%","22.6%","50%",-233,-692,-14.2,5.1,"16.3%",241,"14.7%","17.9%",0.62,0.21
"Leona","Support",4,"18.2%","18.2%","36.4%","50%","75%",1,14,32,2.4,"66.0%","25.0%","50%",75,-183,0.5,1.1,"3.3%",122,"7.2%","9.0%",1.56,0.39
