"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",6,"83%","50%",28,15,60,5.9,"61.5%","19.6%","27.8%","50%",467,153,-0.8,8.3,"21.9%",572,"22.6%","22.1%",0.55,0.23
"BeryL","DAMWON Gaming","Support",3,"100%","33%",3,6,33,6,"66.7%","5.6%","28.6%","33%",69,-9,0,1.4,"5.1%",212,"9.2%","10.1%",1.74,0.55
"Canyon","DAMWON Gaming","Jungle",3,"100%","33%",13,6,24,6.2,"68.5%","24.1%","28.6%","67%",43,-166,-6.7,6.4,"19.0%",330,"13.9%","20.2%",1.12,0.67
"Chovy","DRX","Middle",6,"17%","17%",23,20,12,1.8,"79.5%","52.3%","17.7%","17%",-11,76,5.2,9.4,"27.3%",543,"26.9%","27.7%",0.35,0.44
"Clid","Gen.G","Jungle",6,"83%","83%",31,9,61,10.2,"64.3%","21.7%","16.7%","67%",326,118,-3,6.4,"20.1%",432,"17.1%","20.0%",0.73,0.44
"Deft","DRX","ADC",6,"17%","67%",9,17,19,1.6,"63.6%","20.5%","15.0%","0%",-388,-40,-6,8.6,"27.6%",466,"23.0%","23.4%",0.46,0.29
"Doran","DRX","Top",6,"17%","83%",6,25,24,1.2,"68.2%","13.6%","22.1%","0%",-33,-60,6.5,8.2,"23.8%",451,"23.2%","22.9%",0.44,0.24
"Ghost","DAMWON Gaming","ADC",3,"100%","33%",14,3,25,13,"72.2%","25.9%","14.3%","33%",344,54,5.3,9.6,"31.0%",662,"29.2%","26.5%",0.45,0.26
"Keria","DRX","Support",6,"17%","83%",1,27,25,1,"59.1%","2.3%","23.9%","17%",-211,-250,3,1.4,"4.3%",169,"8.7%","7.9%",1.84,0.54
"Life","Gen.G","Support",6,"83%","17%",7,11,84,8.3,"63.6%","4.9%","20.4%","67%",205,320,-4.8,1.1,"3.0%",283,"11.2%","10.1%",1.56,0.43
"Nuguri","DAMWON Gaming","Top",3,"100%","33%",11,3,15,8.7,"48.1%","20.4%","14.3%","67%",314,247,-2.3,8.2,"22.5%",482,"20.9%","21.8%",0.34,0.2
"Pyosik","DRX","Jungle",6,"17%","33%",5,24,24,1.2,"65.9%","11.4%","21.2%","17%",-81,33,4.5,6.3,"17.0%",368,"18.1%","18.1%",0.54,0.25
"Rascal","Gen.G","Top",6,"83%","0%",33,9,37,7.8,"49.0%","23.1%","16.7%","17%",322,198,-2.8,7.7,"23.2%",529,"21.5%","21.5%",0.39,0.16
"Ruler","Gen.G","ADC",6,"83%","33%",44,10,48,9.2,"64.3%","30.8%","18.5%","50%",510,230,8,9.6,"31.9%",686,"27.6%","26.4%",0.63,0.54
"ShowMaker","DAMWON Gaming","Middle",3,"100%","67%",13,3,22,11.7,"64.8%","24.1%","14.3%","0%",-284,-115,-3.7,8.4,"22.5%",627,"26.8%","21.3%",0.51,0.19
