"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Biofrost","Team SoloMid","Support",17,"65%","59%",11,32,166,5.5,"76.6%","4.8%","18.6%","41%",-56,-147,-0.4,1.1,"2.9%",136,"7.1%","8.5%",1.71,0.48
"Bjergsen","Team SoloMid","Middle",23,"61%","30%",81,31,135,7,"71.8%","26.9%","14.0%","22%",47,68,0.8,9.3,"27.4%",467,"24.6%","25.0%",0.42,0.11
"Broken Blade","Team SoloMid","Top",23,"61%","48%",71,59,133,3.5,"67.8%","23.6%","26.6%","35%",222,107,4.4,7.9,"24.2%",500,"26.2%","22.7%",0.55,0.17
"Broxah","Team Liquid","Jungle",13,"54%","54%",37,29,88,4.3,"71.4%","21.1%","17.1%","23%",150,-102,-3.1,5.3,"14.7%",237,"11.9%","17.2%",0.44,0.35
"CoreJJ","Team Liquid","Support",13,"54%","54%",15,41,108,3,"70.3%","8.6%","24.1%","15%",-11,42,0,1.1,"3.1%",172,"8.7%","8.8%",1.69,0.5
"Doublelift","Team SoloMid","ADC",23,"61%","48%",74,41,130,5,"67.8%","24.6%","18.5%","26%",-126,-35,-4.5,9.2,"29.6%",507,"26.3%","25.6%",0.4,0.39
"IgNar","FlyQuest","Support",17,"59%","47%",12,44,131,3.3,"67.5%","5.7%","22.8%","35%",93,8,4.2,1,"2.7%",120,"6.4%","8.3%",1.62,0.37
"Impact","Team Liquid","Top",13,"54%","46%",29,40,94,3.1,"70.3%","16.6%","23.5%","23%",-49,-22,-2.8,7.1,"21.1%",423,"22.4%","20.6%",0.46,0.1
"Jensen","Team Liquid","Middle",13,"54%","54%",41,23,81,5.3,"69.7%","23.4%","13.5%","15%",32,57,0,9.2,"29.0%",526,"27.3%","26.0%",0.37,0.24
"PowerOfEvil","FlyQuest","Middle",17,"59%","71%",59,33,104,4.9,"76.9%","27.8%","17.1%","29%",148,29,1.8,9,"27.5%",598,"31.7%","25.6%",0.44,0.28
"Santorin","FlyQuest","Jungle",17,"59%","53%",41,36,117,4.4,"74.5%","19.3%","18.7%","47%",41,31,0.7,5.8,"17.0%",301,"15.7%","18.1%",0.38,0.55
"Solo","FlyQuest","Top",17,"59%","35%",40,49,91,2.7,"61.8%","18.9%","25.4%","18%",-176,-100,-2.5,7.9,"25.1%",445,"23.6%","22.6%",0.36,0.2
"Spica","Team SoloMid","Jungle",23,"61%","39%",61,48,169,4.8,"76.4%","20.3%","21.6%","48%",74,150,2.3,5.8,"16.1%",301,"15.7%","18.2%",0.51,0.39
"Tactical","Team Liquid","ADC",13,"54%","54%",53,37,78,3.5,"74.9%","30.3%","21.8%","15%",-9,169,2.5,9.5,"32.1%",590,"29.7%","27.3%",0.39,0.31
"Treatz","Team SoloMid","Support",6,"50%","67%",3,11,43,4.2,"65.7%","4.3%","22.0%","0%",-143,-42,2.8,0.9,"1.9%",123,"7.3%","8.3%",1.39,0.22
"WildTurtle","FlyQuest","ADC",17,"59%","41%",60,31,97,5.1,"74.1%","28.3%","16.1%","35%",-3,84,-2.9,8.7,"27.7%",427,"22.6%","25.4%",0.3,0.27
