"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bwipo","Fnatic","Top",11,"55%","55%",29,46,63,2,"55.4%","17.5%","25.0%","36%",-210,-44,-11.4,7,"21.4%",419,"20.4%","19.9%",0.5,0.18
"Caps","G2 Esports","Middle",17,"65%","59%",95,41,99,4.7,"67.8%","33.2%","16.7%","24%",63,26,5.6,8.5,"25.6%",561,"27.0%","24.9%",0.37,0.18
"Carzzy","MAD Lions","ADC",11,"36%","82%",35,30,78,3.8,"73.9%","22.9%","17.1%","27%",182,71,2.4,8.1,"26.9%",579,"29.5%","24.6%",0.38,0.28
"Finn","Rogue","Top",11,"45%","45%",32,37,60,2.5,"58.6%","20.4%","25.7%","18%",-296,-213,-10.3,6.8,"24.2%",444,"25.8%","22.1%",0.42,0.09
"Hans sama","Rogue","ADC",11,"45%","82%",37,26,63,3.8,"63.7%","23.6%","18.1%","27%",24,81,-0.7,8.6,"28.2%",397,"22.2%","25.7%",0.4,0.31
"Humanoid","MAD Lions","Middle",11,"36%","45%",35,39,69,2.7,"68.0%","22.9%","22.3%","27%",-120,-236,-11.3,8,"25.1%",490,"24.9%","23.8%",0.4,0.12
"Hylissang","Fnatic","Support",11,"55%","18%",12,52,95,2.1,"64.5%","7.2%","28.3%","27%",-34,-33,-1,1.1,"2.7%",176,"8.8%","9.0%",1.42,0.32
"Inspired","Rogue","Jungle",11,"45%","27%",31,24,72,4.3,"65.6%","19.7%","16.7%","36%",226,237,3.9,6.1,"18.5%",315,"18.1%","19.0%",0.25,0.34
"Jankos","G2 Esports","Jungle",17,"65%","53%",51,45,131,4,"63.6%","17.8%","18.4%","18%",-211,-266,-8,5.5,"16.6%",265,"13.4%","17.3%",0.39,0.41
"Kaiser","MAD Lions","Support",11,"36%","55%",11,36,95,2.9,"69.3%","7.2%","20.6%","18%",36,-184,-0.1,1,"2.3%",147,"7.6%","9.7%",1.71,0.33
"Larssen","Rogue","Middle",11,"45%","45%",47,23,48,4.1,"60.5%","29.9%","16.0%","18%",119,95,1.7,8.6,"26.9%",469,"26.1%","24.8%",0.3,0.15
"Mikyx","G2 Esports","Support",17,"65%","65%",15,55,167,3.3,"63.6%","5.2%","22.4%","24%",73,175,2.5,1.1,"2.4%",149,"7.6%","8.9%",1.78,0.33
"Nemesis","Fnatic","Middle",11,"55%","36%",42,29,56,3.4,"59.0%","25.3%","15.8%","0%",-44,35,-1.5,9.1,"28.8%",565,"27.6%","25.7%",0.33,0.2
"Orome","MAD Lions","Top",11,"36%","45%",27,34,67,2.8,"61.4%","17.6%","19.4%","9%",-344,-160,-10.5,7.3,"25.9%",378,"18.2%","21.8%",0.33,0.12
"Perkz","G2 Esports","ADC",17,"65%","6%",73,43,122,4.5,"68.2%","25.5%","17.6%","18%",-97,-194,-1.9,9,"29.4%",506,"25.8%","26.0%",0.39,0.31
"Rekkles","Fnatic","ADC",11,"55%","73%",37,21,71,5.1,"65.1%","22.3%","11.4%","27%",86,145,2.5,9,"28.3%",460,"22.3%","25.6%",0.37,0.43
"Selfmade","Fnatic","Jungle",11,"55%","64%",46,36,78,3.4,"74.7%","27.7%","19.6%","45%",390,404,10.6,6.4,"18.7%",414,"20.9%","19.8%",0.44,0.29
"Shad0w","MAD Lions","Jungle",11,"36%","36%",45,36,63,3,"70.6%","29.4%","20.6%","27%",-269,-231,-1.4,6.1,"19.9%",405,"19.8%","20.1%",0.41,0.27
"Vander","Rogue","Support",11,"45%","45%",10,34,81,2.7,"58.0%","6.4%","23.6%","27%",-42,-67,-2,1,"2.3%",136,"7.8%","8.3%",1.51,0.23
"Wunder","G2 Esports","Top",17,"65%","59%",52,61,100,2.5,"53.1%","18.2%","24.9%","6%",489,297,19.4,8.2,"26.0%",519,"26.3%","23.0%",0.49,0.12
