Player,Team,League,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Biofrost,Team SoloMid,LCS,Support,17,65%,59%,11,32,166,5.5,76.6%,4.8%,18.6%,41%,-56,-147,-0.4,1.1,2.9%,136,7.1%,8.5%,1.71,0.48
Bjergsen,Team SoloMid,LCS,Middle,23,61%,30%,81,31,135,7.0,71.8%,26.9%,14.0%,22%,47,68,0.8,9.3,27.4%,467,24.6%,25.0%,0.42,0.11
Broken Blade,Team SoloMid,LCS,Top,23,61%,48%,71,59,133,3.5,67.8%,23.6%,26.6%,35%,222,107,4.4,7.9,24.2%,500,26.2%,22.7%,0.55,0.17
Broxah,Team Liquid,LCS,Jungle,13,54%,54%,37,29,88,4.3,71.4%,21.1%,17.1%,23%,150,-102,-3.1,5.3,14.7%,237,11.9%,17.2%,0.44,0.35
CoreJJ,Team Liquid,LCS,Support,13,54%,54%,15,41,108,3.0,70.3%,8.6%,24.1%,15%,-11,42,0.0,1.1,3.1%,172,8.7%,8.8%,1.69,0.5
Doublelift,Team SoloMid,LCS,ADC,23,61%,48%,74,41,130,5.0,67.8%,24.6%,18.5%,26%,-126,-35,-4.5,9.2,29.6%,507,26.3%,25.6%,0.4,0.39
IgNar,FlyQuest,LCS,Support,17,59%,47%,12,44,131,3.3,67.5%,5.7%,22.8%,35%,93,8,4.2,1.0,2.7%,120,6.4%,8.3%,1.62,0.37
Impact,Team Liquid,LCS,Top,13,54%,46%,29,40,94,3.1,70.3%,16.6%,23.5%,23%,-49,-22,-2.8,7.1,21.1%,423,22.4%,20.6%,0.46,0.1
Jensen,Team Liquid,LCS,Middle,13,54%,54%,41,23,81,5.3,69.7%,23.4%,13.5%,15%,32,57,0.0,9.2,29.0%,526,27.3%,26.0%,0.37,0.24
PowerOfEvil,FlyQuest,LCS,Middle,17,59%,71%,59,33,104,4.9,76.9%,27.8%,17.1%,29%,148,29,1.8,9.0,27.5%,598,31.7%,25.6%,0.44,0.28
Santorin,FlyQuest,LCS,Jungle,17,59%,53%,41,36,117,4.4,74.5%,19.3%,18.7%,47%,41,31,0.7,5.8,17.0%,301,15.7%,18.1%,0.38,0.55
Solo,FlyQuest,LCS,Top,17,59%,35%,40,49,91,2.7,61.8%,18.9%,25.4%,18%,-176,-100,-2.5,7.9,25.1%,445,23.6%,22.6%,0.36,0.2
Spica,Team SoloMid,LCS,Jungle,23,61%,39%,61,48,169,4.8,76.4%,20.3%,21.6%,48%,74,150,2.3,5.8,16.1%,301,15.7%,18.2%,0.51,0.39
Tactical,Team Liquid,LCS,ADC,13,54%,54%,53,37,78,3.5,74.9%,30.3%,21.8%,15%,-9,169,2.5,9.5,32.1%,590,29.7%,27.3%,0.39,0.31
Treatz,Team SoloMid,LCS,Support,6,50%,67%,3,11,43,4.2,65.7%,4.3%,22.0%,0%,-143,-42,2.8,0.9,1.9%,123,7.3%,8.3%,1.39,0.22
WildTurtle,FlyQuest,LCS,ADC,17,59%,41%,60,31,97,5.1,74.1%,28.3%,16.1%,35%,-3,84,-2.9,8.7,27.7%,427,22.6%,25.4%,0.3,0.27
Bwipo,Fnatic,LEC,Top,11,55%,55%,29,46,63,2.0,55.4%,17.5%,25.0%,36%,-210,-44,-11.4,7.0,21.4%,419,20.4%,19.9%,0.5,0.18
Caps,G2 Esports,LEC,Middle,17,65%,59%,95,41,99,4.7,67.8%,33.2%,16.7%,24%,63,26,5.6,8.5,25.6%,561,27.0%,24.9%,0.37,0.18
Carzzy,MAD Lions,LEC,ADC,11,36%,82%,35,30,78,3.8,73.9%,22.9%,17.1%,27%,182,71,2.4,8.1,26.9%,579,29.5%,24.6%,0.38,0.28
Finn,Rogue,LEC,Top,11,45%,45%,32,37,60,2.5,58.6%,20.4%,25.7%,18%,-296,-213,-10.3,6.8,24.2%,444,25.8%,22.1%,0.42,0.09
Hans sama,Rogue,LEC,ADC,11,45%,82%,37,26,63,3.8,63.7%,23.6%,18.1%,27%,24,81,-0.7,8.6,28.2%,397,22.2%,25.7%,0.4,0.31
Humanoid,MAD Lions,LEC,Middle,11,36%,45%,35,39,69,2.7,68.0%,22.9%,22.3%,27%,-120,-236,-11.3,8.0,25.1%,490,24.9%,23.8%,0.4,0.12
Hylissang,Fnatic,LEC,Support,11,55%,18%,12,52,95,2.1,64.5%,7.2%,28.3%,27%,-34,-33,-1.0,1.1,2.7%,176,8.8%,9.0%,1.42,0.32
Inspired,Rogue,LEC,Jungle,11,45%,27%,31,24,72,4.3,65.6%,19.7%,16.7%,36%,226,237,3.9,6.1,18.5%,315,18.1%,19.0%,0.25,0.34
Jankos,G2 Esports,LEC,Jungle,17,65%,53%,51,45,131,4.0,63.6%,17.8%,18.4%,18%,-211,-266,-8.0,5.5,16.6%,265,13.4%,17.3%,0.39,0.41
Kaiser,MAD Lions,LEC,Support,11,36%,55%,11,36,95,2.9,69.3%,7.2%,20.6%,18%,36,-184,-0.1,1.0,2.3%,147,7.6%,9.7%,1.71,0.33
Larssen,Rogue,LEC,Middle,11,45%,45%,47,23,48,4.1,60.5%,29.9%,16.0%,18%,119,95,1.7,8.6,26.9%,469,26.1%,24.8%,0.3,0.15
Mikyx,G2 Esports,LEC,Support,17,65%,65%,15,55,167,3.3,63.6%,5.2%,22.4%,24%,73,175,2.5,1.1,2.4%,149,7.6%,8.9%,1.78,0.33
Nemesis,Fnatic,LEC,Middle,11,55%,36%,42,29,56,3.4,59.0%,25.3%,15.8%,0%,-44,35,-1.5,9.1,28.8%,565,27.6%,25.7%,0.33,0.2
Orome,MAD Lions,LEC,Top,11,36%,45%,27,34,67,2.8,61.4%,17.6%,19.4%,9%,-344,-160,-10.5,7.3,25.9%,378,18.2%,21.8%,0.33,0.12
Perkz,G2 Esports,LEC,ADC,17,65%,6%,73,43,122,4.5,68.2%,25.5%,17.6%,18%,-97,-194,-1.9,9.0,29.4%,506,25.8%,26.0%,0.39,0.31
Rekkles,Fnatic,LEC,ADC,11,55%,73%,37,21,71,5.1,65.1%,22.3%,11.4%,27%,86,145,2.5,9.0,28.3%,460,22.3%,25.6%,0.37,0.43
Selfmade,Fnatic,LEC,Jungle,11,55%,64%,46,36,78,3.4,74.7%,27.7%,19.6%,45%,390,404,10.6,6.4,18.7%,414,20.9%,19.8%,0.44,0.29
Shad0w,MAD Lions,LEC,Jungle,11,36%,36%,45,36,63,3.0,70.6%,29.4%,20.6%,27%,-269,-231,-1.4,6.1,19.9%,405,19.8%,20.1%,0.41,0.27
Vander,Rogue,LEC,Support,11,45%,45%,10,34,81,2.7,58.0%,6.4%,23.6%,27%,-42,-67,-2.0,1.0,2.3%,136,7.8%,8.3%,1.51,0.23
Wunder,G2 Esports,LEC,Top,17,65%,59%,52,61,100,2.5,53.1%,18.2%,24.9%,6%,489,297,19.4,8.2,26.0%,519,26.3%,23.0%,0.49,0.12
Bdd,Gen.G,LCK,Middle,6,83%,50%,28,15,60,5.9,61.5%,19.6%,27.8%,50%,467,153,-0.8,8.3,21.9%,572,22.6%,22.1%,0.55,0.23
BeryL,DAMWON Gaming,LCK,Support,3,100%,33%,3,6,33,6.0,66.7%,5.6%,28.6%,33%,69,-9,0.0,1.4,5.1%,212,9.2%,10.1%,1.74,0.55
Canyon,DAMWON Gaming,LCK,Jungle,3,100%,33%,13,6,24,6.2,68.5%,24.1%,28.6%,67%,43,-166,-6.7,6.4,19.0%,330,13.9%,20.2%,1.12,0.67
Chovy,DRX,LCK,Middle,6,17%,17%,23,20,12,1.8,79.5%,52.3%,17.7%,17%,-11,76,5.2,9.4,27.3%,543,26.9%,27.7%,0.35,0.44
Clid,Gen.G,LCK,Jungle,6,83%,83%,31,9,61,10.2,64.3%,21.7%,16.7%,67%,326,118,-3.0,6.4,20.1%,432,17.1%,20.0%,0.73,0.44
Deft,DRX,LCK,ADC,6,17%,67%,9,17,19,1.6,63.6%,20.5%,15.0%,0%,-388,-40,-6.0,8.6,27.6%,466,23.0%,23.4%,0.46,0.29
Doran,DRX,LCK,Top,6,17%,83%,6,25,24,1.2,68.2%,13.6%,22.1%,0%,-33,-60,6.5,8.2,23.8%,451,23.2%,22.9%,0.44,0.24
Ghost,DAMWON Gaming,LCK,ADC,3,100%,33%,14,3,25,13.0,72.2%,25.9%,14.3%,33%,344,54,5.3,9.6,31.0%,662,29.2%,26.5%,0.45,0.26
Keria,DRX,LCK,Support,6,17%,83%,1,27,25,1.0,59.1%,2.3%,23.9%,17%,-211,-250,3.0,1.4,4.3%,169,8.7%,7.9%,1.84,0.54
Life,Gen.G,LCK,Support,6,83%,17%,7,11,84,8.3,63.6%,4.9%,20.4%,67%,205,320,-4.8,1.1,3.0%,283,11.2%,10.1%,1.56,0.43
Nuguri,DAMWON Gaming,LCK,Top,3,100%,33%,11,3,15,8.7,48.1%,20.4%,14.3%,67%,314,247,-2.3,8.2,22.5%,482,20.9%,21.8%,0.34,0.2
Pyosik,DRX,LCK,Jungle,6,17%,33%,5,24,24,1.2,65.9%,11.4%,21.2%,17%,-81,33,4.5,6.3,17.0%,368,18.1%,18.1%,0.54,0.25
Rascal,Gen.G,LCK,Top,6,83%,0%,33,9,37,7.8,49.0%,23.1%,16.7%,17%,322,198,-2.8,7.7,23.2%,529,21.5%,21.5%,0.39,0.16
Ruler,Gen.G,LCK,ADC,6,83%,33%,44,10,48,9.2,64.3%,30.8%,18.5%,50%,510,230,8.0,9.6,31.9%,686,27.6%,26.4%,0.63,0.54
ShowMaker,DAMWON Gaming,LCK,Middle,3,100%,67%,13,3,22,11.7,64.8%,24.1%,14.3%,0%,-284,-115,-3.7,8.4,22.5%,627,26.8%,21.3%,0.51,0.19
369,Top Esports,LPL,Top,8,75%,75%,31,25,43,3.0,51.7%,21.7%,22.7%,25%,191,326,6.0,8.6,28.2%,557,23.4%,24.5%,0.3,0.35
Angel,Suning,LPL,Middle,10,60%,50%,44,23,60,4.5,62.7%,26.5%,14.7%,10%,127,70,7.0,8.1,24.2%,613,29.4%,23.2%,0.46,0.18
Bin,Suning,LPL,Top,10,60%,30%,38,44,55,2.1,56.0%,22.9%,28.2%,20%,-14,-122,-1.0,7.5,23.3%,504,23.8%,23.0%,0.39,0.16
huanfeng,Suning,LPL,ADC,10,60%,60%,48,21,68,5.5,69.9%,28.9%,13.5%,10%,-12,-90,-3.4,8.5,31.5%,520,23.4%,26.1%,0.42,0.26
JackeyLove,Top Esports,LPL,ADC,8,75%,50%,45,20,64,5.5,76.2%,31.5%,18.2%,13%,-37,80,7.0,8.7,27.3%,646,26.9%,25.2%,0.37,0.44
Kanavi,JD Gaming,LPL,Jungle,9,56%,56%,35,28,64,3.5,73.3%,25.9%,22.4%,67%,314,110,-0.4,6.7,20.1%,466,22.5%,20.6%,0.3,0.41
Karsa,Top Esports,LPL,Jungle,8,75%,38%,30,24,64,3.9,65.7%,21.0%,21.8%,38%,-215,-278,-5.9,6.0,18.4%,368,16.7%,19.2%,0.62,0.45
knight,Top Esports,LPL,Middle,8,75%,13%,33,13,62,7.3,66.4%,23.1%,11.8%,25%,204,10,1.4,8.3,23.9%,638,27.3%,22.4%,0.34,0.3
LokeN,JD Gaming,LPL,ADC,9,56%,33%,32,17,60,5.4,68.1%,23.7%,13.6%,11%,372,225,6.1,9.4,29.4%,423,21.9%,25.9%,0.39,0.29
LvMao,JD Gaming,LPL,Support,9,56%,33%,4,37,70,2.0,54.8%,3.0%,29.6%,33%,145,245,3.0,1.1,2.7%,148,7.4%,8.0%,1.79,0.41
SofM,Suning,LPL,Jungle,10,60%,80%,27,33,81,3.3,65.1%,16.3%,21.2%,30%,240,412,6.4,5.9,18.2%,342,15.7%,18.2%,0.67,0.51
SwordArt,Suning,LPL,Support,10,60%,50%,9,35,86,2.7,57.2%,5.4%,22.4%,10%,32,105,-0.9,1.1,2.8%,158,7.6%,9.5%,1.54,0.3
Yagao,JD Gaming,LPL,Middle,9,56%,78%,32,20,60,4.6,68.1%,23.7%,16.0%,11%,-388,-118,-7.0,7.9,22.7%,466,24.6%,21.9%,0.37,0.26
yuyanjia,Top Esports,LPL,Support,8,75%,63%,4,28,88,3.3,64.3%,2.8%,25.5%,13%,-6,-36,0.3,1.0,2.2%,128,5.7%,8.7%,1.68,0.32
Zoom,JD Gaming,LPL,Top,9,56%,56%,32,23,50,3.6,60.7%,23.7%,18.4%,44%,110,74,2.8,8.4,25.1%,438,23.5%,23.6%,0.46,0.17
